"OBJ_CD"	"FND_CD"	"FND_NM"	"CNTR_NM"	"ASST_LBLT"	"TP"	"TRD_DT"	"EFF_DT"	"MAT_DT"	"CURR"	"NOTN"	"MAT_PRD"	"CALL_YN"	"RISK_CALL_YN"	"STRUCT_COND"	"PAY_COND"	"PAY_FREQ"	"PAY_DCF"	"RCV_COND"	"RCV_FREQ"	"RCV_DCF"	"NOTE"	"CALL_DT"	"TRMNTN_DT"	"TYPE1"	"TYPE2"	"TYPE3"	"TYPE4"	"OPTN_FREQ"	"CALL_NOTICE"	"ADD_OPTN"	"UPFRNT"	"CREATED_AT"	"UPDATED_AT"
I210909FE002	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20210909"	"20210913"	"20310913"	KRW	20000000000	10	N	""	STR(10y, 4.65%, 10*(Avg.CMS1y - Avg.CCS1y-0.42826%), Cap 4.65%, w/o Floor)	"0.02"	"12"	Act/365	"1회차 : 4.65%
2회차~10회차 : min(4.65%, 10*[Avg.CMS1y-Avg.CCS1y-0.42826%])"	"12"	"30/360"	""	""	""	Spread	Swap Basis	""	""	Annual	"17 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I210916FE001	"10206020"	FE_RT_ExoticSWAP	Deutsche Bank AG	자산	자산	"20210915"	"20210927"	"20330927"	KRW	20000000000	12	N	""	STR(12y, 1.00%+3.45*(USDCMS30y - USDCMS2y), Cap 6.00%, Floor -3.00%)	"0.02"	"3"	"30/360"	Max(Min(1.00% + 3.45*(USDCMS 30y - USDCMS 2y), 6.00%), -3.00%)	"1"	"30/360"	""	""	""	Spread	$CMS30y2y	""	""	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I211008FE008	"10206020"	FE_RT_ExoticSWAP	노무라파이낸셜증권(서울)	자산	자산	"20211008"	"20211015"	"20331015"	KRW	20000000000	12	N	""	STR(12y, 4.55%*[2*n/N - 1], Range Accrual (3mCD - 3mKTB) >= 0.00%, w/o Cap, w/o Floor)	"0.02"	"12"	"30/360"	"4.55%*[2*n/N - 1]"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	""	""	Annual	"15 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I211122FE002	"10206020"	FE_RT_ExoticSWAP	Goldman Sachs International	자산	자산	"20211122"	"20211124"	"20311124"	KRW	20000000000	10	N	""	STR(10y, 2.61% + 10*(Avg(3mCD - 3mCMT)), Cap 5.45%, Floor 변동)	"0.02"	"3"	"30/360"	"1회차~4회차:Max(Min(2.61% + 10*(Avg(3mCD-3mCMT)), 5.45%), 0.00%)
5회차~10회차:Max(Min(2.61% + 10*(Avg(3mCD-3mCMT)), 5.45%), -16.66%)"	"12"	"30/360"	세트 거래랑 안 맞음: Avg.(3mCD - 3mKTB) vs (Avg.3mCD - Avg.3mKTB)	""	""	Spread	Power	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I220119FE003	"10206020"	FE_RT_ExoticSWAP	Goldman Sachs International	자산	자산	"20220119"	"20220120"	"20320120"	KRW	30000000000	10	N	""	STR(10y, 2.32% + 10*(Avg(3mCD - 3mCMT)), Cap 5.50%, Floor 변동)	"0.021"	"3"	"30/360"	"1회차~2회차:Max(Min(2.32% + 10*(Avg(3mCD-3mCMT)), 5.50%), 0.00%)
3회차~10회차:Max(Min(2.32% + 10*(Avg(3mCD-3mCMT)), 5.50%), -12.50%)"	"12"	"30/360"	세트 거래랑 안 맞음: Avg.(3mCD - 3mKTB) vs (Avg.3mCD - Avg.3mKTB)	""	""	Spread	Power	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I220315FE002	"10206020"	FE_RT_ExoticSWAP	Deutsche Bank AG	자산	자산	"20220315"	"20220318"	"20320318"	KRW	30000000000	10	N	""	STR(10y, 5.05%, 2.75%+12*Avg(CMS10y - CMS2y), Cap 5.00%, Floor -1.00%)	CD+0.15%	"3"	Act/365	"1회차~4회차 : 5.05%
5회차~40회차 : Max(Min(2.75%+12*[Avg(CMS10y-CMS2y)], 5.00%), -1.00%)"	"3"	"30/360"	세트 거래랑 안 맞음: Avg.(3mCD - 3mKTB) vs (Avg.3mCD - Avg.3mKTB)	""	""	Spread	CMS10y2y	""	""	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I220511FE002	"10206020"	FE_RT_ExoticSWAP	Goldman Sachs International	자산	자산	"20220511"	"20220513"	"20320513"	KRW	30000000000	10	N	""	STR(10y, 3.35% + 10*Avg(3mCD-3mCMT), Cap 6.10%, Floor 변동)	CD+0.15%	"3"	Act/365	"1회차~3회차:Max(Min(3.35% + 10*(Avg(3mCD-3mCMT)), 6.10%), 0.00%)
4회차~10회차:Max(Min(3.35% + 10*(Avg(3mCD-3mCMT)), 6.10%), -14.28%)"	"12"	"30/360"	세트 거래랑 안 맞음: Avg.(3mCD - 3mKTB) vs (Avg.3mCD - Avg.3mKTB)	""	""	Spread	Power	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I220713FE002	"10206020"	FE_RT_ExoticSWAP	Goldman Sachs International	자산	자산	"20220713"	"20220715"	"20320715"	KRW	30000000000	10	N	""	STR(10y, 3.93% + 10*Avg(3mCD-3mCMT), Cap 6.10%, Floor 변동)	CD+0.20%	"3"	Act/365	"1회차~3회차:Max(Min(3.93% + 10*(Avg(3mCD-3mCMT)), 6.10%), 0.00%)
4회차~10회차:Max(Min(3.93% + 10*(Avg(3mCD-3mCMT)), 6.10%), -14.28%)"	"12"	"30/360"	세트 거래랑 안 맞음: Avg.(3mCD - 3mKTB) vs (Avg.3mCD - Avg.3mKTB)	""	""	Spread	Power	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I220829FE003	"10206020"	FE_RT_ExoticSWAP	Goldman Sachs International	자산	자산	"20220829"	"20220901"	"20320901"	KRW	30000000000	10	N	""	STR(10y, 3.80% + 10*Avg(3mCD-3mCMT), Cap 6.15%, Floor 변동)	CD+0.20%	"3"	Act/365	"1회차~3회차: Max(Min(3.80% + 10*(Avg(3mCD-3mCMT)), 6.15%), 0.00%)
4회차~10회차: Max(Min(3.80% + 10*(Avg(3mCD-3mCMT)), 6.15%), -14.28%)"	"12"	"30/360"	세트 거래랑 안 맞음: Avg.(3mCD - 3mKTB) vs (Avg.3mCD - Avg.3mKTB)	""	""	Spread	Power	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I220831FE005	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20220831"	"20220902"	"20340902"	KRW	15000000000	12	N	""	STR(12y, 5.40%, 5.40%*n/N, (3mCD - 3mKTB) >= 0.00% & (CMS 10y - CMS 2y) >= - 0.40%, w/o Cap, w/o Floor)	CD+0.15%	"3"	Act/365	"1회차~2회차: 5.40%
3회차~12회차: 5.40%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	CMS10y2y	""	Annual	"17 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230207FE002	"10206020"	FE_RT_ExoticSWAP	Goldman Sachs International	자산	자산	"20230207"	"20230210"	"20330210"	KRW	20000000000	10	N	""	STR(10y, 5.50%*n/N, Range Accrual (3mCD - 3mCMT) >= 0.00%, w/o Cap, w/o Floor)	"0.0335"	"3"	Act/365	"5.50%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	""	""	Annual	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230519FE003	"10206020"	FE_RT_ExoticSWAP	한국씨티은행	자산	자산	"20230519"	"20230523"	"20330523"	KRW	50000000000	10	N	""	STR(10y, 5.26%*n/N, Range Accrual (3mCD - 3mCMT) >= 0.00%, w/o Cap, w/o Floor)	"0.0336"	"12"	Act/365	"5.26%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230605FE006	"10206020"	FE_RT_ExoticSWAP	한국수출입은행	자산	자산	"20230605"	"20230609"	"20330609"	KRW	30000000000	10	N	""	STR(10y, 5.56%*n/N, Range Accrual (3mCD - 3mCMT) >= 0.00%, w/o Cap, w/o Floor)	"0.0356"	"3"	Act/365	"5.56%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	""	""	Annual	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230612FE002	"10206020"	FE_RT_ExoticSWAP	한국씨티은행	자산	자산	"20230612"	"20230613"	"20330613"	KRW	50000000000	10	N	""	STR(10y, 5.45%*n/N, Range Accrual (3mCD - 3mCMT) >= 0.00%, w/o Cap, w/o Floor)	"0.0355"	"12"	Act/365	"5.45%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230817FE003	"10206020"	FE_RT_ExoticSWAP	한국씨티은행	자산	자산	"20230817"	"20230821"	"20330821"	KRW	50000000000	10	N	""	STR(10y, 5.70%*n/N, Range Accrual (3mCD - 3mCMT) >= 0.00%, w/o Cap, w/o Floor)	"0.038"	"12"	Act/365	"5.70%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	CDKTB	""	""	Annual	"18 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230825FE001	"10206020"	FE_RT_ExoticSWAP	퍼시픽온스제일차 주식회사	부채	자체발행	"20230825"	"20230825"	"20280825"	KRW	2500000000	5	N	Y	STR(5y, 1.00% + 40*(CD - 0.95%), w/o Cap, w/o Floor)	"1.00% + 40*(CD - 0.95%)"	"3"	Act/365	"0.01"	"3"	Act/365	스왑션 > 구조화스왑 <> Plain IRS 랑 매칭(Plain이랑 세트거래)	리스크에서 조기상환된거로 처리	""	""	""	""	Floater	지정	"2 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230825FE002	"10206020"	FE_RT_ExoticSWAP	퍼시픽온스제일차 주식회사	부채	자체발행	"20230825"	"20230825"	"20280825"	KRW	2500000000	5	N	Y	STR(5y, 1.00% + 40*(CD - 0.95%), w/o Cap, w/o Floor)	"1.00% + 40*(CD - 0.95%)"	"3"	Act/365	"0.01"	"3"	Act/365	스왑션 > 구조화스왑 <> Plain IRS 랑 매칭(Plain이랑 세트거래)	리스크에서 조기상환된거로 처리	""	""	""	""	Floater	지정	"2 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230825FE003	"10206020"	FE_RT_ExoticSWAP	퍼시픽온스제일차 주식회사	부채	자체발행	"20230825"	"20230825"	"20280825"	KRW	2500000000	5	N	Y	STR(5y, 1.00% + 40*(CD - 0.94%), w/o Cap, w/o Floor)	"1.00% + 40*(CD - 0.94%)"	"3"	Act/365	"0.01"	"3"	Act/365	스왑션 > 구조화스왑 <> Plain IRS 랑 매칭(Plain이랑 세트거래)	리스크에서 조기상환된거로 처리	""	""	""	""	Floater	지정	"2 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230825FE004	"10206020"	FE_RT_ExoticSWAP	퍼시픽온스제일차 주식회사	부채	자체발행	"20230825"	"20230825"	"20280825"	KRW	2500000000	5	N	Y	STR(5y, 1.00% + 40*(CD - 0.94%), w/o Cap, w/o Floor)	"1.00% + 40*(CD - 0.94%)"	"3"	Act/365	"0.01"	"3"	Act/365	스왑션 > 구조화스왑 <> Plain IRS 랑 매칭(Plain이랑 세트거래)	리스크에서 조기상환된거로 처리	""	""	""	""	Floater	지정	"2 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I230926FE005	"10206020"	FE_RT_ExoticSWAP	퍼시픽베가제일차 주식회사	부채	자체발행	"20230926"	"20230926"	"20281226"	KRW	2000000000	5.25	N	""	STR(5y, 1.00% + 40*(CD - 0.73%), 1.00%, w/o Cap, w/o Floor)	"1회차~20회차: 1.00% + 40*(CD - 0.73%)
21회차: 1.00%"	"3"	Act/365	"0.01"	"3"	Act/365	""	""	""	""	""	""	Floater	지정	"2 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I231228FE011	"10206020"	FE_RT_ExoticSWAP	퍼시픽윈터제일차 주식회사	부채	자체발행	"20231228"	"20231229"	"20290329"	KRW	10000000000	5.25	N	""	"구조화이자1: (5.25y, 0.50% + 20*(3.50%-Avg.3mKTB), 0.50%, w/o Cap, w/o Floor)
구조화이자2: 0.20% (3개월 마다 지급)"	"1회차~20회차: 0.50% + 20*(3.50% - Avg.3mKTB) + 0.2%
21회차: 0.5% + 0.2%"	""	Act/365	"0.005"	""	Act/365	"구조화이자1: 계산은 3개월 단위, 지급은 만기 일시 지급
구조화이자2: 지급 3개월 단위"	""	""	""	""	""	InvF	Quarterly	"5 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I231228FE012	"10206020"	FE_RT_ExoticSWAP	퍼시픽윈터제일차 주식회사	부채	자체발행	"20231228"	"20231229"	"20290329"	KRW	10000000000	5.25	N	Y	"구조화이자1: (5.25y, 0.50% + 20*(3.50%-Avg.3mKTB), 0.50%, w/o Cap, w/o Floor)
구조화이자2: 0.20% (3개월 마다 지급)"	"1회차~20회차: 0.50% + 20*(3.50% - Avg.3mKTB) + 0.2%
21회차: 0.5% + 0.2%"	""	Act/365	"0.005"	""	Act/365	"구조화이자1: 계산은 3개월 단위, 지급은 만기 일시 지급
구조화이자2: 지급 3개월 단위
세트로 묶이면서 고정금리 전환 > 조기상환으로 처리"	리스크에서 조기상환된거로 처리	""	""	""	""	InvF	Quarterly	"5 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I231228FE013	"10206020"	FE_RT_ExoticSWAP	퍼시픽윈터제일차 주식회사	부채	자체발행	"20231228"	"20231229"	"20290329"	KRW	10000000000	5.25	N	Y	"구조화이자1: (5.25y, 0.50% + 20*(3.50%-Avg.3mKTB), 0.50%, w/o Cap, w/o Floor)
구조화이자2: 0.20% (3개월 마다 지급)"	"1회차~20회차: 0.50% + 20*(3.50% - Avg.3mKTB) + 0.2%
21회차: 0.5% + 0.2%"	""	Act/365	"0.005"	""	Act/365	"구조화이자1: 계산은 3개월 단위, 지급은 만기 일시 지급
구조화이자2: 지급 3개월 단위
세트로 묶이면서 고정금리 전환 > 조기상환으로 처리"	리스크에서 조기상환된거로 처리	""	""	""	""	InvF	Quarterly	"5 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240328FE001	"10206020"	FE_RT_ExoticSWAP	제이피모간체이스은행[서울지점]	자산	자산	"20240328"	"20240408"	"20390408"	KRW	50000000000	15	N	""	STR(15y, 5.80%*n/N, Range Accrual (KTB10y - KTB3y)>=0.0%, Protection Barrier 75%)	CD + 0.15%	"3"	Act/365	"if n/N >= 75%, 5.80%
otherwise, 5.80%*n/N"	"12"	"30/360"	""	""	""	Range Accrual	KTB10y3y	""	""	Annual	"7 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240408FE004	"10206020"	FE_RT_ExoticSWAP	아틱서클제일차 주식회사	부채	MTM	"20240408"	"20240408"	"20390708"	KRW	5000000000	15.25	N	""	"구조화이자1: 
STR(15.25y, 10*5.80%*n/N, Range Accrual (KTB10y - KTB3y)>=0.0%, 10*(CD + 0.15%), w/ Protection Barrier 75%)
구조화이자2: 1.2%"	"1회차~60회차: 
if n/N >= 75%, 10*5.80% + 1.2%, otherwise, 10*5.80%*n/N + 1.2%
61회차: 10*(CD + 0.15%) + 1.20%"	"3"	Act/365	"10*(CD + 0.15%)"	"3"	Act/365	""	""	""	Range Accrual	KTB10y3y	""	""	Quarterly	"5 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240424FE001	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240424"	"20240424"	"20440724"	KRW	10000000000	20.25	N	""	"STR(20.25y, 1.25% + Max(Index-7, 0)*0.10%, 1.25%, w/o Cap, w/o Floor)
Index: 구조화 스왑 포트폴리오"	"1회차~80회차: 1.25% + Max(Index-7, 0)*0.10%
81회차: 1.25%"	"3"	Act/365	"0.005"	"3"	Act/365	""	""	""	""	""	""	Index	Quarterly	"8 영업일 전"	Party A 임의종료 불가	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240424FE004	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240424"	"20230217"	"20330217"	KRW	10000000000	10	N	""	STR(10y, 0.50% + 1*(4.00% - Avg.3mKTB), , 0.50%, Cap 20%, w/o Floor)	"1회차~36회차: Min(0.50% + 1*(4.00% - Avg.3mKTB), 20%)
37회차~40회차: 0.50%"	""	Act/365	"0.005"	""	Act/365	계산 3M 단위, 만기 일시 지급	""	""	""	""	""	InvF	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240430FE001	"10206020"	FE_RT_ExoticSWAP	Morgan Stanley & Co.Int	자산	자산	"20240429"	"20240527"	"20340527"	KRW	20000000000	10	N	""	STR(10y, 6.15%, 10.00*(Avg.3mCD - Avg.3mKTB) + 3.30%, 10.00*(Avg.3mCD - Avg.3mKTB) + 2.00%, Cap 변동, w/o Floor)	CD + 0.15%	"3"	Act/365	"1회차: 6.15%
2회차~5회차: Min(6.00%, 10.00*(Avg.3mCD - Avg.3mKTB) + 3.30%)
6회차~10회차: Min(5.00%, 10.00*(Avg.3mCD - Avg.3mKTB) + 2.00%)"	"12"	"30/360"	""	""	""	Spread	Power	""	""	Annual	"17 영업일 전"	Target KO Option	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240430FE003	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240430"	"20221221"	"20311221"	KRW	10000000000	9	N	""	STR(9y, 0.50% + 15*(n% - Avg.3mKTB), 0.50%, Cap 20%, w/o Floor)	"1회차~12회차: 0.50% + 15*(4.00% - Avg.3mKTB), Cap 20%
13회차~20회차: 0.50% + 15*(3.50% - Avg.3mKTB), Cap 20%
21회차~32회차: 0.50% + 15*(3.00% - Avg.3mKTB), Cap 20%
33회차~36회차: 0.50%"	""	Act/365	"0.005"	""	Act/365	계산 3M 단위, 만기 일시 지급	""	""	""	""	""	InvF	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240430FE004	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240430"	"20230103"	"20320103"	KRW	20000000000	9	N	""	STR(9y, 0.50% + 15*(n% - Avg.3mKTB), 0.50%, Cap 20%, w/o Floor)	"1회차~12회차: 0.50% + 15*(4.00% - Avg.3mKTB), Cap 20%
13회차~20회차: 0.50% + 15*(3.50% - Avg.3mKTB), Cap 20%
21회차~32회차: 0.50% + 15*(3.00% - Avg.3mKTB), Cap 20%
33회차~36회차: 0.50%"	""	Act/365	"0.005"	""	Act/365	계산 3M 단위, 만기 일시 지급	""	""	""	""	""	InvF	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240430FE005	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240430"	"20230303"	"20290303"	KRW	10000000000	6	N	Y	STR(6y, 0.50% + 1*(4.00% - Avg.3mKTB), 0.50%, Cap 35%, w/o Floor)	"1회차~20회차: 0.50% + 1*(4.00% - Avg.3mKTB), Cap 35%
21회차~24회차: 0.50%"	""	Act/365	"0.005"	""	Act/365	계산 3M 단위, 만기 일시 지급	""	""	""	""	""	InvF	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240508FE001	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240508"	"20230206"	"20330206"	KRW	10000000000	10	N	""	STR(10y, 0.50% + 15*(4.00% - Avg.3mKTB), 0.50%, Cap 20%, w/o Floor)	"1회차~36회차: 0.50% + 15*(4.00% - Avg.3mKTB), Cap 20%
37회차~40회차: 0.50%"	""	Act/365	"0.005"	""	Act/365	계산 3M 단위, 만기 일시 지급	""	""	""	""	""	InvF	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240508FE002	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	자체발행	"20240508"	"20230214"	"20330214"	KRW	10000000000	10	N	""	STR(10y, 0.50% + 1*(4.00% - Avg.3mKTB), 0.50%, Cap 20%, w/o Floor)	"1회차~36회차: 0.50% + 1*(4.00% - Avg.3mKTB), Cap 20%
37회차~40회차: 0.50%"	""	Act/365	"0.005"	""	Act/365	계산 3M 단위, 만기 일시 지급	""	""	""	""	""	InvF	Quarterly	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
I240514FE001	"10206020"	FE_RT_ExoticSWAP	아틱서클제이차 주식회사	부채	MTM	"20240514"	"20230523"	"20330823"	KRW	10000000000	10.25	N	""	STR(10.25y, 26.30%*n/N, Range Accrual (3mCD - 3mKTB)>=0.00%, 16.80%, w/o Cap, w/o Floor)	"1회차~10회차: 26.30%*n/N
11회차: 16.80%"	""	Act/365	"0.168"	""	Act/365	"계산 1y 단위, 만기 일시 지급
11회차는 3M 단위 계산"	""	""	Range Accrual	CDKTB	""	""	Annual	"10 영업일 전"	""	""	2026-01-16 15:29:40	2026-01-16 15:29:40
